OBJECTID,event_type_cn,event_type_en,Scenario,Threshold_boundaries,S1_label,S1_m2,S1_km2,S2_label,S2_m2,S2_km2,S3_label,S3_m2,S3_km2,S4_label,S4_m2,S4_km2,S5_label,S5_m2,S5_km2,Total_A_m2,Total_A_km2,A_lit_m2,A_lit_km2,PCR,STDHNLPI,ELS,HER
1,繁殖地,Breeding,Cm20,"0.4,0.8,4.0,8.0",0-0.4,44499694.74660776,44.49969474660776,0.4-0.8,0.0,0.0,0.8-4,0.0,0.0,4-8,0.0,0.0,>=8,0.0,0.0,44499694.74660776,44.49969474660776,0.0,0.0,0.0,0.0,,0.0
2,关键停留地,Key stopover,Cm20,"0.4,0.8,4.0,8.0",0-0.4,0.0,0.0,0.4-0.8,48477321.09267326,48.47732109267326,0.8-4,11435675.744938308,11.435675744938306,4-8,0.0,0.0,>=8,0.0,0.0,59912996.83761156,59.912996837611566,59912996.83761156,59.912996837611566,1.0,0.2977178423236514,0.2977178423236514,0.0
3,关键停留地,Key stopover,Cm20,"0.4,0.8,4.0,8.0",0-0.4,178247380.63306013,178.24738063306012,0.4-0.8,2237414.8196618427,2.237414819661842,0.8-4,994406.5865163744,0.9944065865163744,4-8,0.0,0.0,>=8,0.0,0.0,181479202.0392384,181.4792020392384,3231821.4061782174,3.2318214061782173,0.0178082191780821,0.0058219178082191,0.3269230769230769,0.0
4,关键停留地,Key stopover,Cm20,"0.4,0.8,4.0,8.0",0-0.4,0.0,0.0,0.4-0.8,0.0,0.0,0.8-4,78309518.68816449,78.30951868816449,4-8,12181480.684825588,12.181480684825589,>=8,2237414.8196618427,2.237414819661842,92728414.19265191,92.72841419265193,92728414.19265191,92.72841419265193,1.0,0.5449061662198391,0.5449061662198391,0.1554959785522788
5,关键停留地,Key stopover,Cm20,"0.4,0.8,4.0,8.0",0-0.4,124300823.3145468,124.3008233145468,0.4-0.8,7706651.045501903,7.706651045501903,0.8-4,248601.6466290936,0.2486016466290936,4-8,0.0,0.0,>=8,0.0,0.0,132256076.0066778,132.2560760066778,7955252.692130996,7.955252692130996,0.0601503759398496,0.0155075187969924,0.2578125,0.0
6,关键停留地,Key stopover,Cm20,"0.4,0.8,4.0,8.0",0-0.4,300559390.77457416,300.5593907745742,0.4-0.8,23865758.076392982,23.865758076392986,0.8-4,4972032.932581873,4.972032932581873,4-8,0.0,0.0,>=8,0.0,0.0,329397181.7835491,329.39718178354906,28837791.008974858,28.837791008974857,0.0875471698113207,0.0256603773584905,0.293103448275862,0.0
7,关键停留地,Key stopover,Cm20,"0.4,0.8,4.0,8.0",0-0.4,117339977.2089322,117.3399772089322,0.4-0.8,17153513.61740746,17.15351361740746,0.8-4,0.0,0.0,4-8,0.0,0.0,>=8,0.0,0.0,134493490.82633966,134.49349082633967,17153513.61740746,17.15351361740746,0.1275415896487985,0.0318853974121996,0.25,0.0
8,临时停留地,Temporary stopover,Cm20,"0.4,0.8,4.0,8.0",0-0.4,14916098.797745615,14.916098797745615,0.4-0.8,0.0,0.0,0.8-4,0.0,0.0,4-8,0.0,0.0,>=8,0.0,0.0,14916098.797745615,14.916098797745615,0.0,0.0,0.0,0.0,,0.0
9,临时停留地,Temporary stopover,Cm20,"0.4,0.8,4.0,8.0",0-0.4,53449354.02525513,53.449354025255126,0.4-0.8,1491609.8797745616,1.4916098797745616,0.8-4,248601.6466290936,0.2486016466290936,4-8,0.0,0.0,>=8,0.0,0.0,55189565.55165879,55.18956555165879,1740211.5264036553,1.7402115264036553,0.0315315315315315,0.009009009009009,0.2857142857142857,0.0
10,临时停留地,Temporary stopover,Cm20,"0.4,0.8,4.0,8.0",0-0.4,30826604.18200761,30.82660418200761,0.4-0.8,0.0,0.0,0.8-4,0.0,0.0,4-8,0.0,0.0,>=8,0.0,0.0,30826604.18200761,30.82660418200761,0.0,0.0,0.0,0.0,,0.0
11,临时停留地,Temporary stopover,Cm20,"0.4,0.8,4.0,8.0",0-0.4,37538848.64099314,37.53884864099314,0.4-0.8,497203.2932581872,0.4972032932581872,0.8-4,0.0,0.0,4-8,0.0,0.0,>=8,0.0,0.0,38036051.93425133,38.03605193425133,497203.2932581872,0.4972032932581872,0.0130718954248365,0.0032679738562091,0.25,0.0
