OBJECTID,event_type_en,MeanRadiance,P90,P95,MeanExposed,PCR_Cm20,STDHNLPI_Cm20,ELS_Cm20,HER_Cm20,PCR_C0,STDHNLPI_C0,ELS_C0,HER_C0,PCR_Cp20,STDHNLPI_Cp20,ELS_Cp20,HER_Cp20
1,Breeding,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
2,Key stopover,0.7187283375451182,0.967544674873352,1.061026692390442,0.7187283375451182,1.0,0.2977178423236514,0.2977178423236514,0.0,1.0,0.2728215767634854,0.2728215767634854,0.0,0.8547717842323652,0.220954356846473,0.2584951456310679,0.0
3,Key stopover,0.0164612286711392,0.0,0.0,0.924361302302434,0.0178082191780821,0.0058219178082191,0.3269230769230769,0.0,0.0178082191780821,0.0054794520547945,0.3076923076923077,0.0,0.0136986301369863,0.0041095890410958,0.3,0.0
4,Key stopover,2.5704967879737683,4.727080631256103,5.9370091438293375,2.5704967879737683,1.0,0.5449061662198391,0.5449061662198391,0.1554959785522788,1.0,0.5100536193029491,0.510053619302949,0.0857908847184986,1.0,0.4872654155495978,0.4872654155495978,0.0509383378016085
5,Key stopover,0.0344292565171879,0.0,0.5081054180860519,0.5723863895982504,0.0601503759398496,0.0155075187969924,0.2578125,0.0,0.0601503759398496,0.0155075187969924,0.2578125,0.0,0.0093984962406015,0.0023496240601503,0.25,0.0
6,Key stopover,0.0588802448308692,0.0,0.5591098308563232,0.6725545206974297,0.0875471698113207,0.0256603773584905,0.293103448275862,0.0,0.0875471698113207,0.0233962264150943,0.2672413793103448,0.0,0.0377358490566037,0.010566037735849,0.2799999999999999,0.0
7,Key stopover,0.0733289574298753,0.5254612565040588,0.5644910931587219,0.5749415357907615,0.1275415896487985,0.0318853974121996,0.25,0.0,0.1275415896487985,0.0318853974121996,0.25,0.0,0.0314232902033271,0.0078558225508317,0.25,0.0
8,Temporary stopover,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
9,Temporary stopover,0.0200496646198066,0.0,0.0,0.6358607922281537,0.0315315315315315,0.009009009009009,0.2857142857142857,0.0,0.0315315315315315,0.0078828828828828,0.25,0.0,0.018018018018018,0.0045045045045045,0.25,0.0
10,Temporary stopover,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
11,Temporary stopover,0.0075503291647418,0.0,0.0,0.5776001811027527,0.0130718954248365,0.0032679738562091,0.25,0.0,0.0130718954248365,0.0032679738562091,0.25,0.0,0.0065359477124183,0.0016339869281045,0.25,0.0
12,Temporary stopover,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
13,Temporary stopover,0.1313887181593543,0.0,0.7320769906044003,1.4525752729839747,0.0904522613065326,0.0360134003350083,0.3981481481481481,0.0083752093802345,0.0904522613065326,0.0330820770519263,0.3657407407407407,0.0083752093802345,0.067001675041876,0.0238693467336683,0.35625,0.0016750418760469
14,Temporary stopover,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
15,Temporary stopover,0.0063719519270144,0.0,0.0,0.6717857888766697,0.0094850948509485,0.002710027100271,0.2857142857142857,0.0,0.0094850948509485,0.002710027100271,0.2857142857142857,0.0,0.0040650406504065,0.0010162601626016,0.25,0.0
16,Temporary stopover,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
17,Temporary stopover,0.0889050583729799,0.5203577041625977,0.5843632757663729,0.5949800060345577,0.1494252873563218,0.0402298850574712,0.2692307692307692,0.0,0.1494252873563218,0.0373563218390804,0.25,0.0,0.0574712643678161,0.014367816091954,0.25,0.0
18,Wintering,0.7117469734396817,2.1034624576568604,2.8612616062164307,1.1961303303639097,0.5950413223140496,0.2231404958677686,0.375,0.024793388429752,0.5950413223140496,0.2004132231404958,0.3368055555555555,0.0082644628099173,0.3636363636363636,0.1301652892561983,0.3579545454545454,0.0082644628099173
