OBJECTID,event_type,MIN,MAX,RANGE,MEAN,STD,SUM,MEDIAN,PCT75,PCT90,PCT95,AREA,0_0.5,0.5_1,1_5,5_10,10+,HNLPI,PCR,HER,STD_HNLPI,NTL_AREA,P1,P2,P3,P4,HER_LIT,ELS,NTL_AREA_calc,HNLPI_calc,PCR_calc,HER_calc,STD_HNLPI_calc,P1_calc,P2_calc,P3_calc,P4_calc,HER_LIT_calc,ELS_calc
1,繁殖地,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44499694.74660776,44499694.74660771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,关键停留地,0.53464674949646,1.886538624763489,1.351891875267029,0.7187283375451182,0.1883618671560604,173.2135293483735,0.6511620879173279,0.7448936700820923,0.967544674873352,1.061026692390442,59912996.83761156,0.0,54443760.61177145,5469236.225840054,0.0,0.0,1.091286307053941,0.999999999999999,0.0,0.27282157676348523,59912996.837611504,0.9087136929460581,0.09128630705394192,0.0,0.0,0.0,0.27282157676348545,59912996.837611504,1.091286307053941,0.999999999999999,0.0,0.27282157676348523,0.9087136929460581,0.09128630705394192,0.0,0.0,0.0,0.27282157676348545
3,关键停留地,0.0,2.47039270401001,2.47039270401001,0.01646122867113922,0.1425079302581974,12.01669692993163,0.0,0.0,0.0,0.0,181479202.0392383,178247380.6330599,2486016.466290934,745804.9398872801,0.0,0.0,0.021917808219178065,0.01780821917808218,0.0,0.005479452054794516,3231821.406178214,0.7692307692307693,0.23076923076923075,0.0,0.0,0.0,0.3076923076923077,3231821.406178214,0.021917808219178065,0.01780821917808218,0.0,0.005479452054794516,0.7692307692307693,0.23076923076923075,0.0,0.0,0.0,0.3076923076923077
4,关键停留地,0.8538150191307068,12.34786796569824,11.49405294656754,2.570496787973768,1.744678470716355,958.7953019142155,1.955775141716003,2.949136257171631,4.727080631256103,5.937009143829338,92728414.19265193,0.0,4723431.285952775,80049730.21456808,7458049.398872802,497203.2932581868,2.0402144772117947,0.9999999999999992,0.08579088471849858,0.5100536193029487,92728414.19265185,0.05093833780160857,0.8632707774798927,0.08042895442359248,0.0053619302949061655,0.08579088471849865,0.510053619302949,92728414.19265185,2.0402144772117947,0.9999999999999992,0.08579088471849858,0.5100536193029487,0.05093833780160857,0.8632707774798927,0.08042895442359248,0.0053619302949061655,0.08579088471849865,0.510053619302949
5,关键停留地,0.0,1.083295464515686,1.083295464515686,0.03442925651718799,0.1389774413078159,18.31636446714401,0.0,0.0,0.0,0.5081054180860519,132256076.0066778,124300823.3145467,7706651.045501895,248601.6466290934,0.0,0.0,0.062030075187969866,0.060150375939849565,0.0,0.015507518796992466,7955252.692130988,0.96875,0.03125,0.0,0.0,0.0,0.2578125,7955252.692130988,0.062030075187969866,0.060150375939849565,0.0,0.015507518796992466,0.96875,0.03125,0.0,0.0,0.0,0.2578125
6,关键停留地,0.0,1.883090138435364,1.883090138435364,0.05888024483086926,0.2036974303481073,78.01632440090177,0.0,0.0,0.0,0.5591098308563232,329397181.7835491,300559390.7745739,26848977.83594209,1988813.173032747,0.0,0.0,0.09358490566037728,0.08754716981132067,0.0,0.02339622641509432,28837791.008974835,0.9310344827586208,0.06896551724137931,0.0,0.0,0.0,0.26724137931034486,28837791.008974835,0.09358490566037728,0.08754716981132067,0.0,0.02339622641509432,0.9310344827586208,0.06896551724137931,0.0,0.0,0.0,0.26724137931034486
7,关键停留地,0.0,0.7703352570533752,0.7703352570533752,0.07332895742987536,0.1931358220783033,39.67096596956257,0.0,0.0,0.5254612565040588,0.5644910931587219,134493490.8263397,117339977.2089321,17153513.61740744,0.0,0.0,0.0,0.12754158964879833,0.12754158964879833,0.0,0.03188539741219958,17153513.61740744,1.0,0.0,0.0,0.0,0.0,0.25,17153513.61740744,0.12754158964879833,0.12754158964879833,0.0,0.03188539741219958,1.0,0.0,0.0,0.0,0.0,0.25
8,临时停留地,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14916098.79774562,14916098.7977456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,临时停留地,0.0,0.9231740236282349,0.9231740236282349,0.02004966461980666,0.1137153311611157,4.451025545597078,0.0,0.0,0.0,0.0,55189565.55165879,53449354.02525508,1740211.526403654,0.0,0.0,0.0,0.0315315315315315,0.0315315315315315,0.0,0.007882882882882875,1740211.526403654,1.0,0.0,0.0,0.0,0.0,0.25,1740211.526403654,0.0315315315315315,0.0315315315315315,0.0,0.007882882882882875,1.0,0.0,0.0,0.0,0.0,0.25
10,临时停留地,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30826604.18200761,30826604.18200758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,临时停留地,0.0,0.6121291518211365,0.6121291518211365,0.007550329164741863,0.06572403660303365,1.155200362205505,0.0,0.0,0.0,0.0,38036051.93425132,37538848.6409931,497203.2932581868,0.0,0.0,0.0,0.01307189542483659,0.01307189542483659,0.0,0.0032679738562091474,497203.2932581868,1.0,0.0,0.0,0.0,0.0,0.25,497203.2932581868,0.01307189542483659,0.01307189542483659,0.0,0.0032679738562091474,1.0,0.0,0.0,0.0,0.0,0.25
12,临时停留地,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33064019.00166945,33064019.00166942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,临时停留地,0.0,6.225188732147217,6.225188732147217,0.1313887181593544,0.6114992621302782,78.43906474113454,0.0,0.0,0.0,0.7320769906044003,148415183.0375689,134990694.1195977,8452455.985389175,3729024.699436401,1243008.233145467,0.0,0.13232830820770505,0.09045226130653258,0.008375209380234498,0.03308207705192626,13424488.917971045,0.6296296296296295,0.27777777777777773,0.09259259259259259,0.0,0.09259259259259259,0.3657407407407407,13424488.917971045,0.13232830820770505,0.09045226130653258,0.008375209380234498,0.03308207705192626,0.6296296296296295,0.27777777777777773,0.09259259259259259,0.0,0.09259259259259259,0.3657407407407407
