OBJECTID,event_type,metric_name,raw_value,recalculated_value,abs_diff,within_tolerance
1,繁殖地,NTL_AREA,0.0,0.0,0.0,True
1,繁殖地,HNLPI,0.0,0.0,0.0,True
1,繁殖地,PCR,0.0,0.0,0.0,True
1,繁殖地,HER,0.0,0.0,0.0,True
1,繁殖地,STD_HNLPI,0.0,0.0,0.0,True
1,繁殖地,P1,0.0,0.0,0.0,True
1,繁殖地,P2,0.0,0.0,0.0,True
1,繁殖地,P3,0.0,0.0,0.0,True
1,繁殖地,P4,0.0,0.0,0.0,True
1,繁殖地,HER_LIT,0.0,0.0,0.0,True
1,繁殖地,ELS,0.0,0.0,0.0,True
2,关键停留地,NTL_AREA,59912996.837611504,59912996.837611504,0.0,True
2,关键停留地,HNLPI,1.091286307053941,1.091286307053941,0.0,True
2,关键停留地,PCR,0.999999999999999,0.999999999999999,0.0,True
2,关键停留地,HER,0.0,0.0,0.0,True
2,关键停留地,STD_HNLPI,0.27282157676348523,0.27282157676348523,0.0,True
2,关键停留地,P1,0.9087136929460581,0.9087136929460581,0.0,True
2,关键停留地,P2,0.09128630705394192,0.09128630705394192,0.0,True
2,关键停留地,P3,0.0,0.0,0.0,True
2,关键停留地,P4,0.0,0.0,0.0,True
2,关键停留地,HER_LIT,0.0,0.0,0.0,True
2,关键停留地,ELS,0.27282157676348545,0.27282157676348545,0.0,True
3,关键停留地,NTL_AREA,3231821.406178214,3231821.406178214,0.0,True
3,关键停留地,HNLPI,0.021917808219178065,0.021917808219178065,0.0,True
3,关键停留地,PCR,0.01780821917808218,0.01780821917808218,0.0,True
3,关键停留地,HER,0.0,0.0,0.0,True
3,关键停留地,STD_HNLPI,0.005479452054794516,0.005479452054794516,0.0,True
3,关键停留地,P1,0.7692307692307693,0.7692307692307693,0.0,True
3,关键停留地,P2,0.23076923076923075,0.23076923076923075,0.0,True
3,关键停留地,P3,0.0,0.0,0.0,True
3,关键停留地,P4,0.0,0.0,0.0,True
3,关键停留地,HER_LIT,0.0,0.0,0.0,True
3,关键停留地,ELS,0.3076923076923077,0.3076923076923077,0.0,True
4,关键停留地,NTL_AREA,92728414.19265185,92728414.19265185,0.0,True
4,关键停留地,HNLPI,2.0402144772117947,2.0402144772117947,0.0,True
4,关键停留地,PCR,0.9999999999999992,0.9999999999999992,0.0,True
4,关键停留地,HER,0.08579088471849858,0.08579088471849858,0.0,True
4,关键停留地,STD_HNLPI,0.5100536193029487,0.5100536193029487,0.0,True
4,关键停留地,P1,0.05093833780160857,0.05093833780160857,0.0,True
4,关键停留地,P2,0.8632707774798927,0.8632707774798927,0.0,True
4,关键停留地,P3,0.08042895442359248,0.08042895442359248,0.0,True
4,关键停留地,P4,0.0053619302949061655,0.0053619302949061655,0.0,True
4,关键停留地,HER_LIT,0.08579088471849865,0.08579088471849865,0.0,True
4,关键停留地,ELS,0.510053619302949,0.510053619302949,0.0,True
5,关键停留地,NTL_AREA,7955252.692130988,7955252.692130988,0.0,True
5,关键停留地,HNLPI,0.062030075187969866,0.062030075187969866,0.0,True
5,关键停留地,PCR,0.060150375939849565,0.060150375939849565,0.0,True
5,关键停留地,HER,0.0,0.0,0.0,True
5,关键停留地,STD_HNLPI,0.015507518796992466,0.015507518796992466,0.0,True
5,关键停留地,P1,0.96875,0.96875,0.0,True
5,关键停留地,P2,0.03125,0.03125,0.0,True
5,关键停留地,P3,0.0,0.0,0.0,True
5,关键停留地,P4,0.0,0.0,0.0,True
5,关键停留地,HER_LIT,0.0,0.0,0.0,True
5,关键停留地,ELS,0.2578125,0.2578125,0.0,True
6,关键停留地,NTL_AREA,28837791.008974835,28837791.008974835,0.0,True
6,关键停留地,HNLPI,0.09358490566037728,0.09358490566037728,0.0,True
6,关键停留地,PCR,0.08754716981132067,0.08754716981132067,0.0,True
6,关键停留地,HER,0.0,0.0,0.0,True
6,关键停留地,STD_HNLPI,0.02339622641509432,0.02339622641509432,0.0,True
6,关键停留地,P1,0.9310344827586208,0.9310344827586208,0.0,True
6,关键停留地,P2,0.06896551724137931,0.06896551724137931,0.0,True
6,关键停留地,P3,0.0,0.0,0.0,True
6,关键停留地,P4,0.0,0.0,0.0,True
6,关键停留地,HER_LIT,0.0,0.0,0.0,True
6,关键停留地,ELS,0.26724137931034486,0.26724137931034486,0.0,True
7,关键停留地,NTL_AREA,17153513.61740744,17153513.61740744,0.0,True
7,关键停留地,HNLPI,0.12754158964879833,0.12754158964879833,0.0,True
7,关键停留地,PCR,0.12754158964879833,0.12754158964879833,0.0,True
7,关键停留地,HER,0.0,0.0,0.0,True
7,关键停留地,STD_HNLPI,0.03188539741219958,0.03188539741219958,0.0,True
7,关键停留地,P1,1.0,1.0,0.0,True
7,关键停留地,P2,0.0,0.0,0.0,True
7,关键停留地,P3,0.0,0.0,0.0,True
7,关键停留地,P4,0.0,0.0,0.0,True
7,关键停留地,HER_LIT,0.0,0.0,0.0,True
7,关键停留地,ELS,0.25,0.25,0.0,True
8,临时停留地,NTL_AREA,0.0,0.0,0.0,True
8,临时停留地,HNLPI,0.0,0.0,0.0,True
8,临时停留地,PCR,0.0,0.0,0.0,True
8,临时停留地,HER,0.0,0.0,0.0,True
8,临时停留地,STD_HNLPI,0.0,0.0,0.0,True
8,临时停留地,P1,0.0,0.0,0.0,True
